unixtime,Price
1609455600,0.05087
1609459200,0.04819
1609462800,0.04468
1609466400,0.04292
1609470000,0.04039
1609473600,0.0402
1609477200,0.03963
1609480800,0.04009
1609484400,0.04127
1609488000,0.04488
1609491600,0.045
1609495200,0.0472
1609498800,0.05078
1609502400,0.04549
1609506000,0.04473
1609509600,0.04659
1609513200,0.05299
1609516800,0.06026
1609520400,0.06061
1609524000,0.06036
1609527600,0.0574
1609531200,0.05386
1609534800,0.05345
1609538400,0.04972
1609542000,0.04669
1609545600,0.04243
1609549200,0.04109
1609552800,0.04
1609556400,0.03755
1609560000,0.039
1609563600,0.04209
1609567200,0.04496
1609570800,0.04845
1609574400,0.052
1609578000,0.052
1609581600,0.05215
1609585200,0.05595
1609588800,0.052
1609592400,0.05069
1609596000,0.05345
1609599600,0.05999
1609603200,0.062
1609606800,0.06308
1609610400,0.06217
1609614000,0.06003
1609617600,0.05503
1609621200,0.05225
1609624800,0.04845
1609628400,0.04611
1609632000,0.043
1609635600,0.03955
1609639200,0.03518
1609642800,0.03345
1609646400,0.03237
1609650000,0.0317
1609653600,0.03263
1609657200,0.0369
1609660800,0.03696
1609664400,0.03696
1609668000,0.04372
1609671600,0.04771
1609675200,0.04041
1609678800,0.03966
1609682400,0.03957
1609686000,0.03611
1609689600,0.04504
1609693200,0.05256
1609696800,0.04584
1609700400,0.03583
1609704000,0.03331
1609707600,0.03498
1609711200,0.02739
1609714800,0.02933
1609718400,0.02482
1609722000,0.02465
1609725600,0.0248
1609729200,0.02771
1609732800,0.02858
1609736400,0.03704
1609740000,0.05203
1609743600,0.05576
1609747200,0.05706
1609750800,0.05718
1609754400,0.06
1609758000,0.06127
1609761600,0.06028
1609765200,0.06007
1609768800,0.05946
1609772400,0.06199
1609776000,0.06682
1609779600,0.06197
1609783200,0.05506
1609786800,0.04734
1609790400,0.04564
1609794000,0.04893
1609797600,0.04464
1609801200,0.03754
1609804800,0.04007
1609808400,0.03981
1609812000,0.03965
1609815600,0.0402
1609819200,0.04426
1609822800,0.04706
1609826400,0.05496
1609830000,0.06367
1609833600,0.06473
1609837200,0.06607
1609840800,0.06597
1609844400,0.06546
1609848000,0.06382
1609851600,0.06387
1609855200,0.06405
1609858800,0.06426
1609862400,0.06714
1609866000,0.06161
1609869600,0.05916
1609873200,0.05926
1609876800,0.05362
1609880400,0.05386
1609884000,0.04799
1609887600,0.04441
1609891200,0.04294
1609894800,0.04288
1609898400,0.04215
1609902000,0.04323
1609905600,0.04456
1609909200,0.0474
1609912800,0.04405
1609916400,0.05341
1609920000,0.0548
1609923600,0.05394
1609927200,0.0583
1609930800,0.06143
1609934400,0.06192
1609938000,0.057
1609941600,0.05753
1609945200,0.06168
1609948800,0.06184
1609952400,0.05746
1609956000,0.05806
1609959600,0.05997
1609963200,0.05295
1609966800,0.05295
1609970400,0.04953
1609974000,0.05103
1609977600,0.05018
1609981200,0.04897
1609984800,0.04672
1609988400,0.04687
1609992000,0.05008
1609995600,0.05734
1609999200,0.0678
1610002800,0.08651
1610006400,0.08654
1610010000,0.08508
1610013600,0.08874
1610017200,0.08876
1610020800,0.08431
1610024400,0.0804
1610028000,0.08357
1610031600,0.08968
1610035200,0.1
1610038800,0.09043
1610042400,0.08028
1610046000,0.0668
1610049600,0.06022
1610053200,0.05969
1610056800,0.05225
1610060400,0.05053
1610064000,0.04843
1610067600,0.04724
1610071200,0.04561
1610074800,0.04681
1610078400,0.05157
1610082000,0.06067
1610085600,0.07956
1610089200,0.10354
1610092800,0.11045
1610096400,0.10996
1610100000,0.10682
1610103600,0.10237
1610107200,0.09761
1610110800,0.095
1610114400,0.09542
1610118000,0.095
1610121600,0.11
1610125200,0.10241
1610128800,0.08805
1610132400,0.06424
1610136000,0.05943
1610139600,0.0576
1610143200,0.05175
1610146800,0.05473
1610150400,0.05239
1610154000,0.05167
1610157600,0.05088
1610161200,0.05002
1610164800,0.0491
1610168400,0.04957
1610172000,0.05382
1610175600,0.0598
1610179200,0.06692
1610182800,0.06771
1610186400,0.068
1610190000,0.06701
1610193600,0.06253
1610197200,0.06
1610200800,0.06
1610204400,0.06278
1610208000,0.06992
1610211600,0.07199
1610215200,0.06895
1610218800,0.06266
1610222400,0.05654
1610226000,0.05581
1610229600,0.05085
1610233200,0.05465
1610236800,0.05179
1610240400,0.05058
1610244000,0.04798
1610247600,0.0476
1610251200,0.04759
1610254800,0.04209
1610258400,0.04456
1610262000,0.04946
1610265600,0.05496
1610269200,0.05363
1610272800,0.05557
1610276400,0.05417
1610280000,0.05262
1610283600,0.05318
1610287200,0.05485
1610290800,0.05652
1610294400,0.06209
1610298000,0.06341
1610301600,0.05639
1610305200,0.05564
1610308800,0.05333
1610312400,0.05205
1610316000,0.03724
1610319600,0.0449
1610323200,0.04474
1610326800,0.04506
1610330400,0.04407
1610334000,0.04453
1610337600,0.04274
1610341200,0.05462
1610344800,0.06711
1610348400,0.07059
1610352000,0.05832
1610355600,0.05589
1610359200,0.05449
1610362800,0.05335
1610366400,0.04839
1610370000,0.04957
1610373600,0.05096
1610377200,0.04912
1610380800,0.05344
1610384400,0.04794
1610388000,0.04216
1610391600,0.03803
1610395200,0.03424
1610398800,0.03401
1610402400,0.02739
1610406000,0.01896
1610409600,0.01582
1610413200,0.019
1610416800,0.02414
1610420400,0.027
1610424000,0.03594
1610427600,0.04096
1610431200,0.05451
1610434800,0.06064
1610438400,0.05496
1610442000,0.0565
1610445600,0.05788
1610449200,0.05964
1610452800,0.05494
1610456400,0.05155
1610460000,0.05556
1610463600,0.06301
1610467200,0.0646
1610470800,0.06189
1610474400,0.0549
1610478000,0.05325
1610481600,0.04484
1610485200,0.03868
1610488800,0.03724
1610492400,0.03459
1610496000,0.03347
1610499600,0.03236
1610503200,0.03084
1610506800,0.03168
1610510400,0.03681
1610514000,0.04187
1610517600,0.04621
1610521200,0.05614
1610524800,0.04771
1610528400,0.04623
1610532000,0.04382
1610535600,0.04122
1610539200,0.04004
1610542800,0.03947
1610546400,0.04117
1610550000,0.04591
1610553600,0.05549
1610557200,0.05451
1610560800,0.04928
1610564400,0.04865
1610568000,0.04189
1610571600,0.041
1610575200,0.03897
1610578800,0.0373
1610582400,0.03691
1610586000,0.03698
1610589600,0.03982
1610593200,0.0432
1610596800,0.04645
1610600400,0.06004
1610604000,0.0799
1610607600,0.08882
1610611200,0.08927
1610614800,0.08963
1610618400,0.09105
1610622000,0.08875
1610625600,0.0871
1610629200,0.08398
1610632800,0.07996
1610636400,0.08342
1610640000,0.10067
1610643600,0.09016
1610647200,0.0877
1610650800,0.07458
1610654400,0.06274
1610658000,0.05982
1610661600,0.0556
1610665200,0.04898
1610668800,0.04866
1610672400,0.0477
1610676000,0.0466
1610679600,0.048
1610683200,0.05152
1610686800,0.06297
1610690400,0.07794
1610694000,0.09407
1610697600,0.09776
1610701200,0.09069
1610704800,0.08697
1610708400,0.07925
1610712000,0.07664
1610715600,0.07714
1610719200,0.07698
1610722800,0.082
1610726400,0.0995
1610730000,0.09802
1610733600,0.09501
1610737200,0.0772
1610740800,0.06718
1610744400,0.06319
1610748000,0.05542
1610751600,0.05841
1610755200,0.05565
1610758800,0.05216
1610762400,0.05118
1610766000,0.04951
1610769600,0.04852
1610773200,0.04874
1610776800,0.05143
1610780400,0.06116
1610784000,0.06475
1610787600,0.06377
1610791200,0.06213
1610794800,0.05501
1610798400,0.05066
1610802000,0.04948
1610805600,0.05065
1610809200,0.0577
1610812800,0.06501
1610816400,0.0664
1610820000,0.06376
1610823600,0.05747
1610827200,0.05298
1610830800,0.0532
1610834400,0.05056
1610838000,0.04799
1610841600,0.04774
1610845200,0.04718
1610848800,0.04609
1610852400,0.0458
1610856000,0.04542
1610859600,0.04646
1610863200,0.04764
1610866800,0.04742
1610870400,0.05113
1610874000,0.0565
1610877600,0.05994
1610881200,0.05551
1610884800,0.05282
1610888400,0.04995
1610892000,0.05348
1610895600,0.0606
1610899200,0.06705
1610902800,0.072
1610906400,0.06778
1610910000,0.06245
1610913600,0.05661
1610917200,0.05707
1610920800,0.05134
1610924400,0.05022
1610928000,0.04794
1610931600,0.04767
1610935200,0.0466
1610938800,0.04672
1610942400,0.04758
1610946000,0.06119
1610949600,0.07306
1610953200,0.07892
1610956800,0.07565
1610960400,0.07203
1610964000,0.06639
1610967600,0.06006
1610971200,0.0577
1610974800,0.05941
1610978400,0.05739
1610982000,0.05454
1610985600,0.05994
1610989200,0.05508
1610992800,0.05142
1610996400,0.04697
1611000000,0.04563
1611003600,0.04295
1611007200,0.03783
1611010800,0.03668
1611014400,0.03594
1611018000,0.03474
1611021600,0.03596
1611025200,0.0367
1611028800,0.03795
1611032400,0.04159
1611036000,0.04668
1611039600,0.05515
1611043200,0.0545
1611046800,0.05273
1611050400,0.0545
1611054000,0.05221
1611057600,0.05211
1611061200,0.05237
1611064800,0.05134
1611068400,0.05189
1611072000,0.0547
1611075600,0.05275
1611079200,0.04539
1611082800,0.04037
1611086400,0.03728
1611090000,0.03539
1611093600,0.02998
1611097200,0.03033
1611100800,0.0284
1611104400,0.02662
1611108000,0.02513
1611111600,0.02876
1611115200,0.03092
1611118800,0.03556
1611122400,0.04023
1611126000,0.04227
1611129600,0.0389
1611133200,0.03801
1611136800,0.03795
1611140400,0.03792
1611144000,0.03684
1611147600,0.0368
1611151200,0.03892
1611154800,0.0403
1611158400,0.05139
1611162000,0.05752
1611165600,0.04534
1611169200,0.0359
1611172800,0.03197
1611176400,0.02949
1611180000,0.0253
1611183600,0.02485
1611187200,0.01932
1611190800,0.00894
1611194400,0.0009
1611198000,2e-05
1611201600,0.01369
1611205200,0.02747
1611208800,0.03532
1611212400,0.03723
1611216000,0.03529
1611219600,0.03301
1611223200,0.03338
1611226800,0.03369
1611230400,0.03534
1611234000,0.03711
1611237600,0.04252
1611241200,0.04467
1611244800,0.04563
1611248400,0.04505
1611252000,0.04491
1611255600,0.03559
1611259200,0.03196
1611262800,0.03181
1611266400,0.02409
1611270000,0.0091
1611273600,0.01392
1611277200,0.01108
1611280800,0.01151
1611284400,0.01624
1611288000,0.02849
1611291600,0.03223
1611295200,0.03766
1611298800,0.05152
1611302400,0.04542
1611306000,0.04695
1611309600,0.05006
1611313200,0.05208
1611316800,0.05069
1611320400,0.05136
1611324000,0.05449
1611327600,0.05731
1611331200,0.06448
1611334800,0.06677
1611338400,0.06389
